age,fare,sex_male
29.8811345124283,15.5,0.0
25.0,7.25,1.0
17.0,7.925,0.0
21.0,16.1,1.0
14.0,65.0,1.0
29.8811345124283,16.1,0.0
50.0,247.5208,0.0
35.0,53.1,0.0
29.8811345124283,14.4542,1.0
23.0,7.8542,0.0
29.8811345124283,8.05,1.0
21.0,77.9583,0.0
30.5,7.75,0.0
20.0,7.8542,1.0
20.0,7.925,1.0
39.0,211.3375,0.0
47.0,34.0208,1.0
30.0,13.0,1.0
32.0,8.05,1.0
29.8811345124283,7.3125,1.0
26.0,13.0,1.0
30.0,26.0,1.0
29.8811345124283,51.8625,1.0
24.0,247.5208,1.0
28.0,13.0,0.0
0.75,19.2583,0.0
23.0,9.225,1.0
24.0,7.8958,1.0
8.0,21.075,0.0
32.0,7.925,1.0
16.0,8.05,1.0
29.8811345124283,27.7208,1.0
40.5,7.75,1.0
23.0,93.5,1.0
25.0,91.0792,1.0
24.0,65.0,0.0
47.0,9.0,1.0
17.0,108.9,0.0
29.8811345124283,26.55,1.0
28.0,14.4,0.0
18.0,7.75,1.0
29.8811345124283,12.35,0.0
25.0,7.775,1.0
38.0,7.2292,0.0
20.0,7.8542,0.0
29.8811345124283,8.05,1.0
5.0,31.3875,1.0
24.0,8.6625,1.0
14.5,14.4542,0.0
24.0,16.7,0.0
29.8811345124283,7.75,0.0
44.0,57.9792,0.0
29.8811345124283,25.4667,0.0
33.0,20.525,1.0
26.0,13.775,0.0
27.0,7.925,0.0
21.0,7.7958,1.0
29.8811345124283,30.0,1.0
29.8811345124283,15.1,1.0
39.0,26.0,1.0
29.0,21.075,0.0
38.0,227.525,0.0
29.0,26.0,0.0
50.0,8.05,1.0
17.0,47.1,1.0
27.0,76.7292,1.0
23.0,13.0,1.0
33.0,90.0,0.0
15.0,14.4542,0.0
53.0,51.4792,0.0
29.8811345124283,8.05,0.0
18.0,7.775,0.0
29.0,26.0,0.0
48.0,262.375,0.0
49.0,0.0,1.0
8.0,29.125,1.0
29.0,7.8958,1.0
14.0,9.225,1.0
6.0,31.275,0.0
23.0,13.0,1.0
29.0,7.875,1.0
50.0,55.9,1.0
40.0,0.0,1.0
57.0,12.35,1.0
9.0,31.3875,1.0
27.0,8.6625,1.0
44.0,7.925,1.0
24.0,18.75,0.0
29.8811345124283,14.4542,0.0
50.0,26.0,1.0
24.0,9.325,1.0
49.0,76.7292,0.0
30.0,13.8583,0.0
29.8811345124283,25.4667,1.0
31.0,7.925,1.0
5.0,19.2583,0.0
22.0,31.5,1.0
55.0,27.7208,0.0
30.0,7.25,1.0
25.0,55.4417,1.0
25.0,7.8958,1.0
32.0,7.5792,1.0
19.0,53.1,1.0
20.0,7.8542,1.0
62.0,26.55,1.0
29.8811345124283,52.0,0.0
4.0,16.7,0.0
34.0,32.5,0.0
22.0,49.5,0.0
36.0,26.2875,1.0
29.8811345124283,8.05,1.0
55.0,59.4,1.0
29.8811345124283,7.225,1.0
29.0,10.4625,0.0
29.8811345124283,0.0,1.0
29.8811345124283,6.8583,1.0
29.8811345124283,25.7417,1.0
3.0,31.3875,1.0
0.9167,151.55,1.0
28.0,263.0,0.0
18.0,8.6625,1.0
29.8811345124283,7.8958,1.0
29.0,7.775,1.0
47.0,14.5,0.0
29.8811345124283,69.55,1.0
55.0,16.0,0.0
29.8811345124283,8.1125,0.0
26.0,7.8958,1.0
29.0,9.5,1.0
21.0,61.3792,1.0
21.0,7.225,1.0
16.0,7.75,0.0
28.0,56.4958,1.0
9.0,31.275,0.0
39.0,31.275,0.0
31.0,18.0,0.0
10.0,27.9,1.0
29.8811345124283,7.225,1.0
23.0,7.7958,1.0
29.8811345124283,7.75,0.0
27.0,26.0,1.0
29.8811345124283,15.2458,0.0
31.0,21.0,0.0
29.8811345124283,8.7125,1.0
29.8811345124283,13.8625,1.0
28.0,8.05,1.0
2.0,26.0,0.0
34.0,14.4,1.0
40.0,27.9,1.0
34.0,10.5,0.0
54.0,81.8583,0.0
21.0,7.8958,1.0
35.0,10.5,1.0
45.0,8.05,1.0
28.0,7.8958,1.0
33.0,8.6542,1.0
29.8811345124283,8.05,1.0
44.0,90.0,1.0
24.0,27.7208,0.0
5.0,12.475,0.0
27.0,7.925,0.0
54.0,26.0,1.0
25.0,7.8958,1.0
29.8811345124283,8.05,1.0
29.8811345124283,24.15,0.0
13.0,31.3875,1.0
18.0,9.35,0.0
34.5,6.4375,1.0
22.0,7.75,0.0
40.0,15.5,1.0
48.0,106.425,0.0
29.8811345124283,7.75,1.0
40.0,26.0,1.0
41.0,19.5,0.0
29.8811345124283,15.5,0.0
12.0,11.2417,1.0
29.8811345124283,7.75,1.0
24.0,7.75,0.0
46.0,75.2417,1.0
29.8811345124283,89.1042,0.0
33.0,8.05,1.0
29.8811345124283,39.6,1.0
21.0,7.775,1.0
30.0,93.5,0.0
31.0,26.25,1.0
48.0,25.9292,0.0
47.0,10.5,1.0
29.0,27.7208,1.0
36.0,27.75,1.0
29.8811345124283,7.75,1.0
31.0,7.8542,0.0
45.0,7.225,0.0
50.0,14.5,1.0
20.0,13.8625,1.0
27.0,53.1,1.0
80.0,30.0,1.0
29.8811345124283,69.55,0.0
39.0,7.925,1.0
1.0,37.0042,1.0
31.0,26.25,0.0
16.0,39.4,0.0
0.1667,20.575,0.0
19.0,26.2833,0.0
17.0,7.2292,1.0
29.8811345124283,7.75,0.0
25.0,7.925,0.0
19.0,26.0,0.0
18.0,8.05,1.0
17.0,110.8833,1.0
29.8811345124283,7.75,1.0
63.0,26.0,1.0
29.8811345124283,14.5,1.0
29.8811345124283,26.0,1.0
35.0,7.8958,1.0
54.0,51.8625,1.0
51.0,77.9583,0.0
35.0,7.8958,1.0
27.0,13.8583,0.0
21.0,7.75,0.0
25.0,7.775,1.0
25.0,13.0,1.0
28.0,7.8958,1.0
6.0,12.475,1.0
16.0,39.6875,1.0
65.0,26.55,1.0
42.0,26.55,1.0
29.8811345124283,7.2292,1.0
54.0,14.0,1.0
21.0,6.4958,1.0
31.0,57.0,1.0
33.0,7.775,1.0
40.0,13.0,0.0
32.0,7.75,1.0
29.8811345124283,50.0,1.0
26.0,78.85,0.0
21.0,26.55,0.0
42.0,7.55,1.0
48.0,36.75,0.0
29.8811345124283,30.6958,1.0
24.0,8.85,0.0
37.0,52.5542,1.0
38.0,31.3875,0.0
29.8811345124283,8.05,1.0
40.0,46.9,1.0
30.0,24.15,0.0
30.0,12.35,0.0
16.0,18.0,1.0
22.0,7.725,0.0
29.8811345124283,25.4667,0.0
29.0,30.0,1.0
26.0,16.1,0.0
38.0,8.6625,1.0
16.0,10.5,1.0
9.0,3.1708,1.0
31.0,10.5,1.0
29.8811345124283,7.75,0.0
0.3333,14.4,1.0
61.0,262.375,1.0
47.0,52.5542,0.0
42.0,27.0,1.0
29.8811345124283,21.6792,1.0
57.0,146.5208,1.0
29.8811345124283,25.4667,0.0
29.8811345124283,7.75,1.0
8.0,36.75,1.0
29.8811345124283,56.4958,1.0
34.0,13.0,1.0
22.0,7.25,1.0
22.0,59.4,0.0
29.8811345124283,7.75,1.0
29.8811345124283,22.3583,0.0
27.0,30.5,1.0
57.0,13.0,1.0
25.0,7.7958,1.0
34.0,26.0,1.0
29.8811345124283,133.65,0.0
29.8811345124283,15.5,0.0
29.8811345124283,7.6292,0.0
18.0,7.775,0.0
28.5,16.1,1.0
26.0,7.925,0.0
28.0,7.8958,0.0
